region,woreda,date,forecast,lower80,upper80
amhara,beyeda,2025-11-01,84.02234135496266,-159.26675427282376,327.3114369827491
amhara,beyeda,2025-12-01,158.98488752078873,-85.12526141019907,403.09503645177654
amhara,debark_town,2025-11-01,35.632458921967185,-123.18184546992973,194.4467633138641
amhara,debark_town,2025-12-01,47.27051375902697,-111.56731120319394,206.1083387212479
amhara,janamora,2025-11-01,262.45940014035233,-2061.4841748226927,2586.4029751033977
amhara,janamora,2025-12-01,574.7041864962873,-1791.041501278157,2940.449874270732
somali,east_imi,2025-11-01,48.19413493481412,-119.25123697902484,215.63950684865307
somali,east_imi,2025-12-01,53.07430214152142,-114.85208534403748,221.00068962708033
somali,west_imi,2025-11-01,86.4775703074679,-151.4366141295352,324.39175474447103
somali,west_imi,2025-12-01,15.669381719914796,-222.9109980747677,254.2497615145973
