region,woreda,date,acute_cases,roll_mean,roll_std,variability_factor
amhara,debark_town,2019-10-01,0.0,0.0,0.0,
amhara,debark_town,2019-11-01,0.0,0.0,0.0,
amhara,debark_town,2019-12-01,0.0,0.0,0.0,
amhara,debark_town,2020-01-01,0.0,0.0,0.0,
amhara,debark_town,2020-02-01,0.0,0.0,0.0,
amhara,debark_town,2020-03-01,0.0,0.0,0.0,
amhara,debark_town,2020-04-01,0.0,0.0,0.0,
amhara,debark_town,2020-05-01,0.0,0.0,0.0,
amhara,debark_town,2020-06-01,0.0,0.0,0.0,
amhara,debark_town,2020-07-01,0.0,0.0,0.0,
amhara,debark_town,2020-08-01,0.0,0.0,0.0,
amhara,debark_town,2020-09-01,0.0,0.0,0.0,
amhara,debark_town,2020-10-01,0.0,0.0,0.0,
amhara,debark_town,2020-11-01,0.0,0.0,0.0,
amhara,debark_town,2020-12-01,0.0,0.0,0.0,
amhara,debark_town,2021-01-01,0.0,0.0,0.0,
amhara,debark_town,2021-02-01,0.0,0.0,0.0,
amhara,debark_town,2021-03-01,0.0,0.0,0.0,
amhara,debark_town,2021-04-01,0.0,0.0,0.0,
amhara,debark_town,2021-05-01,0.0,0.0,0.0,
amhara,debark_town,2021-06-01,0.0,0.0,0.0,
amhara,debark_town,2021-07-01,0.0,0.0,0.0,
amhara,debark_town,2021-08-01,0.0,0.0,0.0,
amhara,debark_town,2021-09-01,0.0,0.0,0.0,
amhara,debark_town,2021-10-01,0.0,0.0,0.0,
amhara,debark_town,2021-11-01,0.0,0.0,0.0,
amhara,debark_town,2021-12-01,0.0,0.0,0.0,
amhara,debark_town,2022-01-01,0.0,0.0,0.0,
amhara,debark_town,2022-02-01,0.0,0.0,0.0,
amhara,debark_town,2022-03-01,0.0,0.0,0.0,
amhara,debark_town,2022-04-01,0.0,0.0,0.0,
amhara,debark_town,2022-05-01,0.0,0.0,0.0,
amhara,debark_town,2022-06-01,0.0,0.0,0.0,
amhara,debark_town,2022-07-01,180.0,30.0,73.48469228349535,2.4494897427831783
amhara,debark_town,2022-08-01,76.0,42.666666666666664,73.82863039950468,1.7303585249883908
amhara,debark_town,2022-09-01,766.0,170.33333333333334,300.28364368820803,1.7629176733162897
amhara,debark_town,2022-10-01,22.0,174.0,297.9127389018469,1.7121421775968213
amhara,debark_town,2022-11-01,215.0,209.83333333333334,285.46832865778066,1.3604527179878347
amhara,debark_town,2022-12-01,93.0,225.33333333333334,274.094630860706,1.2163962908019497
amhara,debark_town,2023-01-01,41.0,202.16666666666666,284.3739908407003,1.4066314468624912
amhara,debark_town,2023-02-01,18.0,192.5,290.44156038693916,1.5087873266853982
amhara,debark_town,2023-03-01,21.0,68.33333333333333,77.18462713951966,1.1295311288710195
amhara,debark_town,2023-04-01,16.0,67.33333333333333,77.94014797693596,1.1575269501525143
amhara,debark_town,2023-05-01,48.0,39.5,29.303583398622187,0.7418628708511946
amhara,debark_town,2023-06-01,64.0,34.666666666666664,19.44907881280427,0.5610311196001232
amhara,debark_town,2023-07-01,20.0,31.166666666666668,19.96413450832947,0.6405604655078974
amhara,debark_town,2023-08-01,15.0,30.666666666666668,20.392809190169743,0.6649829083751003
amhara,debark_town,2023-09-01,25.0,31.333333333333332,20.0765202828247,0.6407400090263202
amhara,debark_town,2023-10-01,98.0,45.0,31.949960876345482,0.7099991305854552
amhara,debark_town,2023-11-01,14.0,39.333333333333336,34.244220923634295,0.8706157861940922
amhara,debark_town,2023-12-01,203.0,62.5,75.92298729633872,1.2147677967414194
amhara,debark_town,2024-01-01,22.0,62.833333333333336,75.70314832730986,1.20482464181395
amhara,debark_town,2024-02-01,15.0,62.833333333333336,75.70314832730986,1.20482464181395
amhara,debark_town,2024-03-01,18.0,61.666666666666664,76.45303569294471,1.2397789571828872
amhara,debark_town,2024-04-01,17.0,48.166666666666664,75.9036670172573,1.5758546785589753
amhara,debark_town,2024-05-01,12.0,47.833333333333336,76.08788777898013,1.5906875493863442
amhara,debark_town,2024-06-01,69.0,25.5,21.566177222679144,0.8457324401050644
amhara,debark_town,2024-07-01,0.0,21.833333333333332,24.01180265341757,1.099777220767217
amhara,debark_town,2024-08-01,0.0,19.333333333333332,25.59427019210883,1.3238415616608017
amhara,debark_town,2024-09-01,0.0,16.333333333333332,26.80795901717753,1.6413036132965837
amhara,debark_town,2024-10-01,0.0,13.5,27.60978087562455,2.045168953749967
amhara,debark_town,2024-11-01,0.0,11.5,28.1691320420066,2.4494897427831823
amhara,debark_town,2024-12-01,0.0,0.0,0.0,
amhara,janamora,2019-01-01,0.0,,,
amhara,janamora,2019-02-01,0.0,,,
amhara,janamora,2019-03-01,0.0,0.0,0.0,
amhara,janamora,2019-04-01,0.0,0.0,0.0,
amhara,janamora,2019-05-01,0.0,0.0,0.0,
amhara,janamora,2019-06-01,0.0,0.0,0.0,
amhara,janamora,2019-07-01,0.0,0.0,0.0,
amhara,janamora,2019-08-01,0.0,0.0,0.0,
amhara,janamora,2019-09-01,0.0,0.0,0.0,
